Date,Company,Path,SpecificDate,Children
2010Q4,VZ,/pure_articles/VZ/2011-01-25T19:05:11-05:00_Verizon Communications' CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-25T19:05:11-05:00,FALSE
2010Q4,WFC,/pure_articles/WFC/2011-01-19T20:05:16-05:00_Wells Fargo &'s CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-19T20:05:16-05:00,FALSE
2010Q4,WMT,,,FALSE
2010Q4,XOM,/pure_articles/XOM/2011-01-31T17:08:27-05:00_ExxonMobil Management Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-31T17:08:27-05:00,FALSE
2011Q1,AAPL,/pure_articles/AAPL/2011-01-18T23:05:21-05:00_Apple Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-01-18T23:05:21-05:00,FALSE
2011Q1,ABBV,,,FALSE
2011Q1,ABT,/pure_articles/ABT/2011-04-20T16:50:29-04:00_Abbott Laboratories Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-20T16:50:29-04:00,FALSE
2011Q1,ACN,,,FALSE
2011Q1,ADBE,/pure_articles/ADBE/2011-03-22T21:50:18-04:00_Adobe Systems' CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-03-22T21:50:18-04:00,FALSE
2011Q1,AMD,/pure_articles/AMD/2011-04-21T23:00:18-04:00_Advanced Micro Devices' CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-21T23:00:18-04:00,FALSE
2011Q1,AMZN,/pure_articles/AMZN/2011-02-09T21:30:12-05:00_Whole Foods Market's CEO Discusses F1Q11 Results - Earnings Call Transcript.html,2011-02-09T21:30:12-05:00,TRUE
2011Q1,AMZN,/pure_articles/AMZN/2011-04-26T20:40:20-04:00_Amazon.com Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-26T20:40:20-04:00,FALSE
2011Q1,AVGO,/pure_articles/AVGO/2011-04-26T21:50:23-04:00_Broadcom's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-26T21:50:23-04:00,TRUE
2011Q1,BAC,/pure_articles/BAC/2011-04-15T18:20:15-04:00_Bank of America's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-15T18:20:15-04:00,FALSE
2011Q1,CMCSA,/pure_articles/CMCSA/2011-05-04T15:30:00-04:00_Comcast's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-05-04T15:30:00-04:00,FALSE
2011Q1,COST,,,FALSE
2011Q1,CRM,,,FALSE
2011Q1,CSCO,,,FALSE
2011Q1,CVX,/pure_articles/CVX/2011-04-29T23:50:21-04:00_Noble Energy's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-29T23:50:21-04:00,TRUE
2011Q1,CVX,/pure_articles/CVX/2011-04-29T15:40:33-04:00_Chevron Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-29T15:40:33-04:00,FALSE
2011Q1,DHR,/pure_articles/DHR/2011-04-21T15:50:26-04:00_Danaher's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-21T15:50:26-04:00,FALSE
2011Q1,DIS,/pure_articles/DIS/2011-02-09T04:20:31-05:00_Walt Disney's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-02-09T04:20:31-05:00,FALSE
2011Q1,FB,,,FALSE
2011Q1,GOOG,/pure_articles/GOOG/2011-04-15T03:20:25-04:00_Google's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-15T03:20:25-04:00,FALSE
2011Q1,GOOGL,,,FALSE
2011Q1,HD,/pure_articles/HD/2011-05-17T14:30:16-04:00_The Home Depot's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-05-17T14:30:16-04:00,FALSE
2011Q1,INTC,/pure_articles/INTC/2011-04-27T00:10:16-04:00_Altera's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-27T00:10:16-04:00,TRUE
2011Q1,INTC,/pure_articles/INTC/2011-04-19T22:20:16-04:00_Intel's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-19T22:20:16-04:00,FALSE
2011Q1,JNJ,/pure_articles/JNJ/2011-04-19T15:30:19-04:00_Johnson & Johnson Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-19T15:30:19-04:00,FALSE
2011Q1,JPM,/pure_articles/JPM/2011-04-15T03:20:23-04:00_JPMorgan Chase & Co.'s CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-15T03:20:23-04:00,FALSE
2011Q1,KO,/pure_articles/KO/2011-04-26T17:00:18-04:00_The Coca-Cola's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-26T17:00:18-04:00,FALSE
2011Q1,LLY,/pure_articles/LLY/2011-04-18T19:10:16-04:00_Eli Lilly & Co. Management Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-04-18T19:10:16-04:00,FALSE
2011Q1,MA,/pure_articles/MA/2011-05-03T16:50:17-04:00_Mastercard Incorporated's CEO Discusses Q1 2011 Results - Earnings Call Transcript.html,2011-05-03T16:50:17-04:00,FALSE
