Unnamed: 0,Ticker,Quarter,Date,Total_Words,Sum,Mean,Median,Std,%Positive,%Negative,%Neutral,Flesch score,Polysyllable number per sentence
1164,AAPL,2017Q2,2017-05-02,5077,851.0,0.1676186724443569,0.0,0.6392649488996092,9.671065589915305,1.3393736458538508,88.98956076423084,63.9,2.29
1211,AAPL,2017Q3,2017-08-01,5194,837.0,0.16114747785906816,0.0,0.6007440602820454,9.241432422025412,0.9241432422025414,89.83442433577204,62.5,2.29
1258,AAPL,2017Q4,2017-11-02,5165,907.0,0.17560503388189738,0.0,0.6473036241588739,9.56437560503388,1.0648596321393995,89.37076476282671,64.85,2.15
1305,AAPL,2018Q1,2018-02-01,5043,768.0,0.1522903033908388,0.0,0.603283532697696,8.328375966686497,0.9121554630180448,90.75946857029543,54.44,3.02
1352,AAPL,2018Q2,2018-05-01,5200,829.0,0.15942307692307692,0.0,0.6150698178180297,9.326923076923077,1.1153846153846154,89.55769230769229,59.12,2.58
1398,AAPL,2018Q3,2018-07-31,5302,901.0,0.16993587325537532,0.0,0.6284891706725745,9.60015088645794,1.131648434552999,89.26820067898906,49.29,3.41
1447,AAPL,2018Q4,2018-11-01,5219,785.0,0.15041195631347,0.0,0.5819118735453149,8.411573098294692,0.7664303506418854,90.82199655106342,51.49,3.31
1494,AAPL,2019Q1,2019-01-29,4976,656.0,0.13183279742765272,0.0,0.5940268313462473,8.420418006430866,1.5675241157556268,90.01205787781349,53.92,2.74
1542,AAPL,2019Q2,2019-04-30,4933,902.0,0.18285019258057975,0.0,0.65207092990423,10.885870666936952,1.4798297182242042,87.63429961483885,55.83,2.88
1589,AAPL,2019Q3,2019-07-30,5181,877.0,0.16927234124686355,0.0,0.6073151492328751,9.650646593321753,0.8878594865856012,89.46149392009266,58.09,2.61
1635,AAPL,2019Q4,2019-10-30,5473,950.0,0.17357938973140874,0.0,0.6261100638783484,9.70217431025032,1.0232048236798832,89.2746208660698,49.74,3.5
1682,AAPL,2020Q1,2020-01-28,5195,856.0,0.1647738209817132,0.0,0.628386644187835,9.797882579403273,1.3859480269489894,88.81616939364773,59.21,2.43
1730,AAPL,2020Q2,2020-04-30,4981,697.0,0.13993174061433447,0.0,0.5930432670765965,8.793414976912267,1.5458743224252158,89.66071070066252,58.97,2.61
1778,AAPL,2020Q3,2020-07-30,5174,976.0,0.1886354851178972,0.0,0.6530115467067902,10.881329725550833,1.2176265945110163,87.90104367993817,57.79,2.72
1825,AAPL,2020Q4,2020-10-29,5196,752.0,0.1447267128560431,0.0,0.6162954792894173,9.12240184757506,1.8283294842186295,89.04926866820631,47.55,3.51
1871,AAPL,2021Q1,2021-01-27,5129,841.0,0.16396958471436926,0.0,0.6155647526892061,9.826476896081108,1.3257945018522128,88.8477286020667,52.63,2.99
1920,AAPL,2021Q2,2021-04-28,5220,910.0,0.1743295019157088,0.0,0.6423395864569558,10.172413793103447,1.3218390804597702,88.5057471264368,53.71,2.98
1967,AAPL,2021Q3,2021-07-27,5611,1167.0,0.20798431652111926,0.0,0.6888832450018045,11.816075565852788,1.2653715915166637,86.91855284263053,59.56,2.6
2017,AAPL,2021Q4,2021-10-28,5261,719.0,0.13666603307356015,0.0,0.6064822715209199,9.085725147310397,1.957802699106634,88.95647215358295,54.69,2.91
2063,AAPL,2022Q1,2022-01-27,4859,785.0,0.16155587569458738,0.0,0.6387672484483895,9.755093640666804,1.5435274747890513,88.70137888454414,55.98,2.63
368,ABBV,2013Q1,2013-04-26,4779,754.0,0.1577735928018414,0.0,0.6373735334513528,9.667294413057123,1.6112157355095211,88.72148985143335,0.0,71.73
415,ABBV,2013Q2,2013-07-26,5224,818.0,0.15658499234303214,0.0,0.602171301958865,9.686064318529864,1.3782542113323124,88.93568147013781,77.9,3.52
461,ABBV,2013Q3,2013-10-25,5380,808.0,0.15018587360594796,0.0,0.5950545731230529,9.684014869888475,1.4869888475836432,88.82899628252787,77.45,3.79
507,ABBV,2013Q4,2014-01-31,4883,650.0,0.1331148883882859,0.0,0.5720291907169566,8.519352856850297,1.433544951873848,90.04710219127584,74.74,3.82
555,ABBV,2014Q1,2014-04-25,5543,744.0,0.1342233447591557,0.0,0.5781005607159798,8.71369294605809,1.4432617716038243,89.84304528233808,46.92,4.14
597,ABBV,2014Q2,2014-07-25,1791,211.0,0.11781127861529872,0.0,0.5442137582271082,8.263539921831379,1.507537688442211,90.2289223897264,40.54,4.58
649,ABBV,2014Q3,2014-10-31,5936,1089.0,0.1834568733153639,0.0,0.6395047927440757,11.034366576819409,1.2803234501347711,87.6853099730458,52.46,3.94
695,ABBV,2014Q4,2015-01-30,5942,849.0,0.14288118478626724,0.0,0.5798754101969179,8.835408953214406,1.1275664759340291,90.03702457085156,82.65,2.92
741,ABBV,2015Q1,2015-04-23,6519,931.0,0.1428133149256021,0.0,0.5692381179699709,8.97376898297285,1.0891240987881576,89.937106918239,47.38,4.41
791,ABBV,2015Q2,2015-07-24,6792,1073.0,0.15797997644287398,0.0,0.6025381309718453,9.849823321554773,1.413427561837456,88.73674911660777,44.29,4.66
843,ABBV,2015Q3,2015-10-30,9252,1413.0,0.15272373540856032,0.0,0.5973676050366497,9.53307392996109,1.3834846519671422,89.08344141807177,39.45,5.28
883,ABBV,2015Q4,2016-01-29,7982,1148.0,0.14382360310699072,0.0,0.5750187811070658,8.682034577800051,1.2277624655474817,90.09020295665245,47.0,4.19
933,ABBV,2016Q1,2016-04-29,8092,1248.0,0.1542263964409293,0.0,0.6127154939365533,9.552644587246663,1.7671774592189815,88.68017795353434,49.51,3.87
982,ABBV,2016Q2,2016-07-29,7571,1190.0,0.15717870822876767,0.0,0.6145481244405374,9.800554748381984,1.6906617355699378,88.50878351604807,46.24,4.23
1028,ABBV,2016Q3,2016-10-28,7192,1078.0,0.14988876529477194,0.0,0.5808825579245632,9.023915461624027,1.015016685205784,89.96106785317019,50.76,3.82
1072,ABBV,2016Q4,2017-01-27,6814,875.0,0.12841209275022014,0.0,0.5762865451568375,8.467860287643088,1.8784854710889345,89.65365424126797,39.75,4.89
1124,ABBV,2017Q1,2017-04-27,7778,1058.0,0.13602468500899975,0.0,0.5996104649605359,8.819748007199795,1.838518899460016,89.34173309334021,48.48,3.95
1173,ABBV,2017Q2,2017-07-28,7400,1096.0,0.14810810810810812,0.0,0.6096127638005749,9.027027027027025,1.4864864864864866,89.4864864864865,51.47,3.48
1220,ABBV,2017Q3,2017-10-27,8401,1358.0,0.16164742292584214,0.0,0.606755893458072,9.87977621711701,1.2617545530294012,88.85846922985357,42.12,4.56
1263,ABBV,2017Q4,2018-01-26,6788,1135.0,0.16720683559222158,0.0,0.597033608311763,9.66411314083677,0.8986446670595168,89.43724219210371,48.08,4.53
1314,ABBV,2018Q1,2018-04-26,7577,1181.0,0.15586643790418372,0.0,0.5924242047184165,9.462848092912763,1.2537943777220537,89.28335752936519,48.78,3.95
1355,ABBV,2018Q2,2018-07-27,6564,1122.0,0.17093235831809872,0.0,0.6402391149628138,10.435709932967704,1.5386959171237051,88.0255941499086,44.31,4.15
1401,ABBV,2018Q3,2018-11-02,5578,934.0,0.16744352814628902,0.0,0.6260165116757684,9.752599498027967,1.0935819290068125,89.15381857296522,44.63,4.29
1449,ABBV,2018Q4,2019-01-25,5346,811.0,0.15170220725776282,0.0,0.5895836570537901,9.31537598204265,1.1036288814066593,89.5809951365507,44.39,4.04
1496,ABBV,2019Q1,2019-04-25,6062,901.0,0.1486308149125701,0.0,0.6214931161412305,9.650280435499834,1.7980864401187728,88.55163312438141,53.0,3.16
1546,ABBV,2019Q2,2019-07-26,5624,867.0,0.1541607396870555,0.0,0.6441770035172588,9.655049786628735,1.7425320056899003,88.60241820768137,47.08,4.17
1591,ABBV,2019Q3,2019-11-01,5707,888.0,0.1555983879446294,0.0,0.6284844866827562,9.900122656386893,1.559488347643245,88.54038899596986,46.61,3.95
1644,ABBV,2019Q4,2020-02-07,7120,1054.0,0.14803370786516853,0.0,0.6059558859659198,9.410112359550562,1.643258426966292,88.94662921348312,45.62,4.16
1689,ABBV,2020Q1,2020-05-01,7116,855.0,0.12015177065767285,0.0,0.6056968058962192,8.544125913434513,2.051714446318156,89.40415964024733,43.73,4.31
1735,ABBV,2020Q2,2020-07-31,7876,1239.0,0.15731335703402746,0.0,0.6272225245625923,10.017775520568817,1.6886744540375829,88.2935500253936,49.1,3.51
1782,ABBV,2020Q3,2020-10-30,8100,1335.0,0.1648148148148148,0.0,0.6300469491990751,10.518518518518519,1.6049382716049383,87.87654320987656,73.38,4.02
1831,ABBV,2020Q4,2021-02-03,8172,1302.0,0.1593245227606461,0.0,0.6033561209274461,9.875183553597653,1.4317180616740088,88.69309838472833,48.47,3.74
1878,ABBV,2021Q1,2021-04-30,7637,1229.0,0.16092706560167605,0.0,0.6308820266354498,10.200340447819825,1.8462747152023045,87.95338483697786,42.2,5.04
1927,ABBV,2021Q2,2021-07-30,7794,1259.0,0.1615345137285091,0.0,0.6063977363970945,9.905055170644085,1.3471901462663587,88.74775468308954,52.79,3.26
1975,ABBV,2021Q3,2021-10-29,7760,1355.0,0.17461340206185566,0.0,0.6404340703415097,10.463917525773194,1.4690721649484535,88.06701030927833,51.43,3.46
2022,ABBV,2021Q4,2022-02-02,7790,1195.0,0.1534017971758665,0.0,0.6061359605885528,9.602053915275995,1.5019255455712452,88.89602053915277,78.82,2.99
8,ABT,2010Q4,2011-01-26,8252,1109.0,0.1343916626272419,0.0,0.5758396299125169,8.507028599127485,1.4299563742123118,90.0630150266602,54.84,3.44
30,ABT,2011Q1,2011-04-20,6585,1132.0,0.17190584662110858,0.0,0.634350178602077,10.32649962034928,1.3971146545178437,88.27638572513287,49.56,3.63
65,ABT,2011Q2,2011-07-20,5899,1062.0,0.18003051364638073,0.0,0.6251222456924937,10.222071537548736,1.0001695202576708,88.77775894219359,51.25,3.09
106,ABT,2011Q3,2011-10-19,8072,1267.0,0.1569623389494549,0.0,0.5965382226982872,9.52675916749257,1.1521308225966305,89.3211100099108,43.82,4.35
143,ABT,2011Q4,2012-01-25,7218,1199.0,0.1661124965364367,0.0,0.5969567546006678,9.9889165973954,0.9420892213909671,89.06899418121364,50.27,3.43
185,ABT,2012Q1,2012-04-18,5973,885.0,0.14816675037669513,0.0,0.5801286935307589,9.459233216139292,1.3058764439979909,89.23489033986273,46.65,3.1
234,ABT,2012Q2,2012-07-18,6872,965.0,0.14042491268917345,0.0,0.5835131107922388,9.167636786961584,1.4988358556461,89.33352735739231,152.08,1.64
281,ABT,2012Q3,2012-10-17,9950,1479.0,0.14864321608040199,0.0,0.5846872240837335,9.226130653266333,1.1256281407035176,89.64824120603016,39.4,5.17
326,ABT,2012Q4,2013-01-23,7536,1230.0,0.16321656050955413,0.0,0.5848387081993048,9.63375796178344,0.8359872611464968,89.53025477707007,155.03,1.37
373,ABT,2013Q1,2013-04-17,6537,1120.0,0.17133241548110753,0.0,0.6155009720151634,10.647085819183113,1.1932078935291417,88.15970628728775,55.01,3.21
